,farm,sim_id,T_nominal,R_recovery,beta_eff,R0,mean_S,mean_I,total_new_E
130,Farm2,30,0.01,0.08,0.00012805131502015608,0.0016006414377519509,518.3287671232877,2.649315068493151,65
131,Farm2,31,0.01,0.08,0.0001185661180940102,0.0014820764761751275,530.2575342465753,3.1205479452054794,71
132,Farm2,32,0.01,0.08,0.00014171451887002177,0.001771431485875272,505.14794520547946,2.750684931506849,75
133,Farm2,33,0.01,0.08,0.00013911323042117615,0.0017389153802647018,497.041095890411,4.1945205479452055,108
134,Farm2,34,0.01,0.08,0.00015257392195959068,0.0019071740244948835,504.1945205479452,2.243835616438356,65
135,Farm2,35,0.01,0.08,0.00014769864403918736,0.001846233050489842,502.8027397260274,2.4767123287671233,70
136,Farm2,36,0.01,0.08,0.00018373052088659642,0.0022966315110824554,508.84657534246577,1.8493150684931507,65
137,Farm2,37,0.01,0.08,0.00013451195690579812,0.0016813994613224764,521.1534246575343,2.328767123287671,60
138,Farm2,38,0.01,0.08,0.00013981984417481977,0.0017477480521852471,510.3424657534247,2.473972602739726,66
139,Farm2,39,0.01,0.08,0.00014417909656769826,0.0018022387070962282,499.2904109589041,2.4054794520547946,66
140,Farm2,40,0.01,0.04,0.00010161708485301226,0.002540427121325306,453.67123287671234,18.46301369863014,296
141,Farm2,41,0.01,0.08,0.0001455158959443266,0.0018189486993040824,512.3260273972603,2.526027397260274,69
142,Farm2,42,0.01,0.08,0.00015474389875394216,0.0019342987344242771,526.0876712328767,2.0657534246575344,62
143,Farm2,43,0.01,0.08,0.0001517687962391504,0.0018971099529893798,518.7945205479452,2.2739726027397262,66
144,Farm2,44,0.01,0.08,0.00014528923092558247,0.0018161153865697808,510.05753424657536,2.213698630136986,62
145,Farm2,45,0.01,0.077823991679249,0.000134242497155289,0.0017249500347986317,502.3643835616438,2.665753424657534,68
146,Farm2,46,0.01,0.08,0.00016857308309504713,0.002107163538688089,522.7917808219178,1.9013698630136986,62
147,Farm2,47,0.01,0.08,0.00013230524369343686,0.0016538155461679608,514.6082191780822,2.6575342465753424,68
148,Farm2,48,0.01,0.08,0.00013359532855346538,0.0016699416069183173,506.1506849315069,2.8,72
149,Farm2,49,0.01,0.0733460002459424,0.00012215938700530619,0.0016655221361176298,505.25753424657535,3.2,75
150,Farm2,50,0.01,0.0670148562833616,0.0001286675113798624,0.0019199848886612906,525.2191780821918,2.665753424657534,66
151,Farm2,51,0.01,0.0745183230232244,0.00016079230395917452,0.0021577552665679547,510.8876712328767,2.041095890410959,64
152,Farm2,52,0.01,0.04,7.540363266921915e-05,0.0018850908167304787,470.2849315068493,11.372602739726027,152
